loadingOrder,timestamp,longitude,latitude,speed,direction,carrierName,vesselMMSI,onboardDate,TRANSPORT_TRACE,longitude_y,latitude_y,disarrive
BS376830342146,2019-05-17 09:02:58+00:00,41.540107,-27.36202,25.0,25450.0,17,194,2019/05/08  01:55:00,34,31.05008,-29.868304,1060.0788641758645
BW728719337627,2020-03-03 14:47:08+00:00,114.398167,21.671333,22.0,21070.0,13,596,2020/03/03  10:28:00,30,103.70462,1.303141,2542.222484374657
BY126951554337,2020-06-01 23:58:23+00:00,122.230683,30.560432,25.0,28010.0,18,1240,2020/06/01  00:01:00,38,-123.095942,49.289628,9036.415457439076
CA203943622343,2020-03-07 23:42:38+00:00,113.87318700000002,22.443772,12.0,19850.0,7,1071,2020/03/07  19:40:00,30,103.70462,1.303141,2593.4331785970603
CA499004594005,2020-06-01 23:58:21+00:00,3.411117,37.1709,33.0,26820.0,7,236,2020/06/01  00:02:44,48,-7.607741000000001,33.599299,1073.43166050068
CB754581057322,2020-06-10 23:59:57+00:00,114.126167,22.330233,0.0,29300.0,25,437,2020/06/10  14:44:00,19,139.792252,35.616509,2885.683231590879
CF178704506769,2019-12-31 16:05:48+00:00,106.242125,4.51023,27.0,21300.0,11,1152,2019/12/28  20:28:00,30,103.70462,1.303141,454.2027657104223
CF250489266554,2020-01-05 21:05:28+00:00,72.118633,8.18085,32.0,28500.0,7,141,2019/12/27  10:45:00,31,13.728527,45.537061,6922.314581448072
CI249477559760,2019-04-25 11:50:48+00:00,122.31593,30.542012,28.0,9890.0,13,73,2019/04/20  18:14:00,54,-79.88299,9.352609,14976.089996815603
CJ140923819510,2020-06-16 23:59:47+00:00,114.097517,22.291883,24.0,15700.0,8,1190,2020/06/16  22:27:00,32,100.88608,13.079153,1731.5438803300603
CM497289515836,2020-01-02 06:08:08+00:00,109.90935,11.953317,26.0,19400.0,17,292,2019/12/30  21:55:18,25,103.545456,1.399416,1366.5149500838636
CM821215596820,2020-02-07 10:03:48+00:00,114.462545,22.387058,14.0,17650.0,13,896,2020/02/07  08:01:00,35,-58.35677,-34.627862,18473.36411932532
CN500208426939,2020-06-24 23:57:24+00:00,114.131167,22.3295,0.0,14800.0,25,585,2020/06/24  13:35:00,19,139.792252,35.616509,2885.3183778540447
CO875706046605,2020-06-01 23:51:59+00:00,78.44431999999998,6.3052220000000005,34.0,28800.0,13,623,2020/06/01  00:10:00,43,1.313896,51.963177,8569.966837660884
CS451626121579,2020-06-17 23:58:34+00:00,112.4844,15.455282999999998,35.0,19900.0,25,241,2020/06/17  00:19:00,1,103.70462,1.303141,1843.8678315185018
CW302926509424,2019-07-05 20:30:18+00:00,100.668793,3.132123,38.0,30890.0,13,363,2019/07/02  01:25:00,56,4.055925,51.947962,10178.609331569103
DB915850020288,2020-06-08 23:57:11+00:00,114.125257,22.335998,0.0,16020.0,13,173,2020/06/08  01:28:00,53,174.78561399999995,-36.844873,9140.321353714056
DC962761662495,2020-06-01 23:55:12+00:00,-79.366977,8.365178,35.0,100.0,3,113,2020/06/01  00:13:00,8,-71.609932,-33.578213,4732.369426461856
DD591799029348,2019-02-03 22:15:38+00:00,122.566485,30.475015000000006,0.0,27840.0,11,1352,2019/01/28  16:22:00,51,-104.305571,19.085961,12558.743360148577
DG447819231464,2020-06-03 23:59:47+00:00,114.316583,21.701417000000006,31.0,20800.0,8,0,2020/06/03  19:21:00,32,100.88608,13.079153,1714.8566757199353
DJ966074540038,2019-08-02 11:56:58+00:00,129.09962,28.575417,31.0,6290.0,11,401,2019/07/29  18:11:00,54,-79.88299,9.352609,14764.58514471492
DK806447229445,2019-11-29 16:35:28+00:00,122.249667,30.558667,26.0,27990.0,11,59,2019/11/26  01:53:00,51,-104.305571,19.085961,12575.253045097295
DN268186017417,2020-06-16 23:57:58+00:00,118.28535,24.225433,13.0,32000.0,8,1146,2020/06/16  02:23:12,18,130.41038600000002,33.660845,1575.5673228125622
DS591126475419,2020-06-10 23:59:59+00:00,113.890616,20.098216,33.0,22000.0,13,464,2020/06/10  13:59:00,29,50.191042,26.479906,6477.158032326102
DT646086023962,2020-02-13 02:29:48+00:00,114.058352,22.358738,19.0,7620.0,11,486,2020/02/13  00:45:00,30,103.70462,1.303141,2593.5443241766056
EB175528254400,2020-06-15 23:59:57+00:00,113.731307,17.993582,32.0,20400.0,8,1032,2020/06/15  06:19:00,24,101.361204,3.034709,2139.6806553684573
ED280465003180,2020-06-01 23:52:47+00:00,123.266617,26.35125,38.0,6500.0,1,702,2020/06/01  00:03:00,19,139.792252,35.616509,1876.939009130263
EE324469782724,2020-06-01 23:58:00+00:00,32.560877000000005,29.830492,0.0,4590.0,13,691,2020/06/01  00:01:23,45,23.616167,37.971822,1223.109625811867
EN419609736976,2020-06-01 23:53:33+00:00,55.15245,13.867683,30.0,28800.0,13,659,2020/06/01  00:00:00,45,23.616167,37.971822,4099.594697036774
EP386983322003,2019-04-04 02:36:58+00:00,154.528968,46.317427,31.0,5900.0,11,965,2019/04/02  02:42:00,51,-104.305571,19.085961,9298.9635321197
ER485363100395,2020-06-01 23:46:25+00:00,112.298698,14.947037,29.0,2700.0,7,1084,2020/06/01  01:11:25,61,114.139709,22.419915,852.6968340568726
EY867808907364,2020-06-01 23:59:32+00:00,114.3632,22.054567,32.0,17300.0,8,640,2020/06/01  20:51:00,32,100.88608,13.079153,1739.8638741992754
FA965150580484,2019-01-29 12:11:08+00:00,156.65448,-14.00128,35.0,13800.0,19,665,2019/01/20  10:50:00,9,-71.642993,-33.030843,12686.070922298586
FC698901104364,2019-05-19 20:42:28+00:00,30.68549,32.601652,29.0,30730.0,17,87,2019/05/08  02:59:00,58,4.885655,43.43023400000001,2544.3517742908043
FL920999114498,2020-01-02 06:08:08+00:00,109.90935,11.953317,26.0,19400.0,17,292,2019/12/30  21:55:18,25,103.545456,1.399416,1366.5149500838636
FO675686755654,2020-03-25 16:29:18+00:00,113.737135,22.522195,27.0,16190.0,11,812,2020/03/25  15:49:00,30,103.70462,1.303141,2595.067577198453
FQ684650477699,2020-06-01 23:58:28+00:00,103.785378,1.270922,0.0,10200.0,13,1002,2020/06/01  00:00:00,37,-46.28402,-23.954513,15913.806612543902
FQ891076018594,2020-06-01 21:31:06+00:00,92.32494,3.929312,32.0,23000.0,7,38,2020/06/01  00:06:00,34,31.05008,-29.868304,7507.967452427082
FT637253344444,2020-06-01 23:56:43+00:00,99.758178,4.000413,30.0,31000.0,13,151,2020/06/01  00:01:00,46,14.440479000000002,45.323482,9319.561696600627
FU362344938044,2019-08-19 02:49:38+00:00,114.116388,22.335672,0.0,11740.0,7,665,2019/08/18  19:51:00,9,-71.642993,-33.030843,18686.47419383261
FV273736278058,2020-03-12 11:18:38+00:00,122.172647,27.248227000000004,31.0,3080.0,11,514,2020/03/09  20:55:00,51,-104.305571,19.085961,12823.24081525079
FX975491217543,2020-06-01 23:57:55+00:00,-79.88525,9.369717,0.0,8600.0,17,1153,2020/06/01  00:01:00,7,-88.19550600000002,17.507049,1273.881930565429
FZ261489073003,2020-06-06 23:59:53+00:00,115.281017,22.245467,29.0,7490.0,8,1364,2020/06/06  17:06:00,18,130.41038600000002,33.660845,1948.9435108956266
GD965065076406,2019-08-17 18:06:38+00:00,134.235568,32.38472,39.0,6320.0,11,1101,2019/08/15  04:42:00,54,-79.88299,9.352609,14120.628946881809
GE263384920430,2020-06-01 23:50:18+00:00,99.74955,4.125,32.0,30500.0,8,1255,2020/06/01  00:00:00,16,72.93839,18.936253,3342.3111890352434
GI354257800006,2020-06-13 23:58:19+00:00,111.176773,16.826388,38.0,20400.0,13,401,2020/06/13  04:01:00,45,23.616167,37.971822,8652.722452038292
GI362530750071,2019-08-17 08:02:58+00:00,130.64041799999998,30.77178,36.0,6050.0,11,1101,2019/08/15  04:42:00,54,-79.88299,9.352609,14482.708879214388
GI441090799883,2020-06-15 23:59:24+00:00,114.116368,22.329388,0.0,1870.0,15,726,2020/06/15  02:55:00,55,121.046856,13.756824,1200.9774153874914
GN264175704161,2019-07-09 18:13:08+00:00,122.236568,30.563272,7.0,28650.0,13,73,2019/07/06  23:04:00,54,-79.88299,9.352609,14978.059998495066
GN475000708758,2020-06-01 23:58:25+00:00,118.252875,23.570602,26.0,6890.0,0,1028,2020/06/01  00:40:00,0,113.863058,22.559462,462.64930030594286
GO446975735856,2020-06-01 23:56:43+00:00,99.758178,4.000413,30.0,31000.0,13,151,2020/06/01  00:01:00,60,23.616167,37.971822,8515.26188552952
GW839821198326,2020-02-11 12:45:58+00:00,108.457445,7.956502,29.0,21400.0,11,515,2020/02/08  22:50:00,30,103.70462,1.303141,907.4477899904756
GZ929916177805,2019-08-15 07:57:08+00:00,165.74569499999996,-24.85218,32.0,14220.0,7,582,2019/08/04  16:20:00,9,-71.642993,-33.030843,11159.432324797324
HE409311407852,2019-05-08 17:59:08+00:00,120.127427,22.23971,1.0,25400.0,11,1399,2019/05/08  00:13:00,51,-104.305571,19.085961,13341.318541197228
HG338664354396,2020-02-14 18:57:28+00:00,113.801977,22.302325,25.0,350.0,11,441,2020/02/14  16:06:00,30,103.70462,1.303141,2576.100833562889
HI185836900833,2020-06-10 23:53:04+00:00,113.80856,21.53508,32.0,18600.0,13,318,2020/06/10  18:56:00,2,55.04979,25.022073,5964.22545443156
HJ790123244299,2019-06-23 01:48:38+00:00,101.758712,2.383352,27.0,30200.0,7,645,2019/06/17  13:24:00,49,-5.8129800000000005,35.788207,11415.935757259664
HL219446866557,2020-02-01 09:10:48+00:00,114.400638,21.9256,30.0,18790.0,13,95,2020/02/01  05:07:00,30,103.70462,1.303141,2567.207433282329
HM477496559738,2020-06-01 19:37:12+00:00,123.851178,31.247020000000006,29.0,1600.0,24,142,2020/06/01  00:04:00,21,126.626175,37.401819,729.7226410765744
HS103428089559,2020-01-09 06:57:08+00:00,113.88671200000002,22.41725,14.0,16870.0,11,1213,2020/01/09  06:43:00,30,103.70462,1.303141,2591.414860436557
HU888600201045,2020-06-12 23:29:35+00:00,117.307027,22.277658,32.0,8500.0,20,1019,2020/06/12  12:16:00,59,131.882303,43.114035,2677.700287639977
HZ821461787249,2019-05-15 19:12:18+00:00,120.331023,22.550347,0.0,29510.0,11,471,2019/05/14  00:32:00,51,-104.305571,19.085961,13303.073140125864
IE114789474106,2020-06-01 23:46:14+00:00,-165.09402,39.168865,35.0,10510.0,3,177,2020/06/01  00:08:00,8,-71.609932,-33.578213,12542.264353552293
IF710405214333,2020-06-01 23:58:16+00:00,120.406767,25.31465,28.0,4320.0,8,1291,2020/06/01  00:00:00,18,130.41038600000002,33.660845,1338.926967774861
IG957329100005,2020-06-02 23:59:48+00:00,113.87925,21.80915,34.0,17100.0,25,767,2020/06/02  20:27:00,1,103.70462,1.303141,2530.7663096969172
II828454776306,2020-06-09 23:59:41+00:00,113.926597,22.354962,25.0,12070.0,8,979,2020/06/09  23:17:00,15,106.881179,-6.119484,3255.7437436137848
IK608316304754,2019-09-17 19:07:28+00:00,-123.35354,30.762897,35.0,13100.0,13,1395,2019/08/31  21:57:00,54,-79.88299,9.352609,5078.1646850146635
IL463353411528,2020-06-01 23:58:41+00:00,-75.749323,-18.757425,36.0,16700.0,3,63,2020/06/01  00:05:20,8,-71.609932,-33.578213,1697.4289529298228
IM152812147499,2020-06-02 23:55:49+00:00,113.229263,20.328276,29.0,21200.0,13,108,2020/06/02  12:43:00,24,101.361204,3.034709,2312.2670674938126
IP997851361285,2020-06-01 23:49:19+00:00,-1.388355,36.42749,21.0,25200.0,17,459,2020/06/01  00:01:48,42,0.204605,49.49014,1457.2676269368976
IV840633766828,2020-03-20 20:41:28+00:00,114.964845,22.210307,35.0,26210.0,13,905,2020/03/19  02:51:00,4,103.70462,1.303141,2622.863656333507
IY984577883150,2020-06-01 23:33:44+00:00,140.034105,1.14677,32.0,13350.0,19,396,2020/06/01  00:18:00,53,174.78561399999995,-36.844873,5534.612002189011
JE819852765409,2020-03-22 15:20:28+00:00,114.326108,22.080442,27.0,14430.0,11,905,2020/03/22  12:30:00,30,103.70462,1.303141,2578.781641543103
JH101436980795,2020-03-21 00:23:08+00:00,106.847025,5.063722,25.0,22400.0,11,299,2020/03/17  03:57:00,30,103.70462,1.303141,544.2028523431909
JK944314963943,2019-08-27 22:22:18+00:00,102.83424,1.64524,30.0,30730.0,17,1145,2019/08/23  08:36:00,50,14.509457,35.896571,9743.28907874442
JL847444670297,2020-06-17 23:58:34+00:00,112.4844,15.455282999999998,35.0,19900.0,25,241,2020/06/17  00:19:49,1,103.70462,1.303141,1843.8678315185018
JS337254015345,2020-06-09 23:59:50+00:00,114.330867,21.697267,31.0,19400.0,13,81,2020/06/09  19:11:00,24,101.361204,3.034709,2502.480705216271
JU504111071430,2019-12-15 05:34:28+00:00,113.85508,21.792085,33.0,17610.0,11,1108,2019/12/15  03:09:00,30,103.70462,1.303141,2527.941530574751
JU672849287479,2020-06-02 23:34:52+00:00,113.512168,18.304207,22.0,19000.0,13,1259,2020/06/02  03:01:00,15,106.881179,-6.119484,2809.7464762656
JU877708983002,2020-06-01 23:59:50+00:00,32.571037,29.83649,0.0,31380.0,0,153,2020/06/01  00:07:00,47,8.946256,44.40565,2629.797120143173
JY538030984696,2019-06-18 05:21:38+00:00,122.458348,28.263712,35.0,2070.0,13,1395,2019/06/15  23:24:00,54,-79.88299,9.352609,15182.518160853033
JZ374738140028,2020-06-02 23:59:48+00:00,113.87925,21.80915,34.0,17100.0,25,767,2020/06/02  20:27:00,1,103.70462,1.303141,2530.7663096969172
KB458948726500,2020-06-01 23:58:27+00:00,41.438735,15.74576,34.0,32900.0,17,517,2020/06/01  00:08:00,42,0.204605,49.49014,5270.688795509105
KE425279217674,2020-06-01 23:59:37+00:00,32.563097,29.772387,0.0,17440.0,18,572,2020/06/01  00:03:00,33,29.748836,40.7739,1248.7179368803236
KF428751355221,2019-11-22 07:26:38+00:00,152.414333,-12.99466,35.0,17500.0,19,436,2019/11/14  07:40:00,53,174.78561399999995,-36.844873,3460.2926563664937
KL360554759061,2020-03-21 00:23:08+00:00,106.847025,5.063722,25.0,22400.0,13,299,2020/03/17  03:57:28,30,103.70462,1.303141,544.2028523431909
KM253531604156,2020-06-15 23:54:29+00:00,116.112362,22.419983,32.0,6020.0,22,1267,2020/06/15  14:52:31,21,126.626175,37.401819,1945.4971913866682
KN428143669343,2020-06-16 23:53:54+00:00,113.1735,20.159783,31.0,21100.0,13,3,2020/06/16  12:32:00,23,79.891802,6.984864999999999,3870.460978412201
KO849768330117,2020-06-04 23:58:45+00:00,1.302262,6.128752,12.0,14110.0,17,154,2020/06/04  15:56:00,3,9.906216,2.939002,1016.7779052838713
KU446247491023,2019-08-09 05:38:48+00:00,120.172483,22.126423000000006,4.0,11580.0,11,1016,2019/08/06  12:58:00,51,-104.305571,19.085961,13345.882612332487
KX661536528233,2020-06-01 23:51:36+00:00,113.192978,16.862547,20.0,20100.0,7,960,2020/06/01  00:05:00,34,31.05008,-29.868304,10198.74901779713
LC880715290091,2020-06-01 23:29:24+00:00,65.309048,-13.925613,30.0,23550.0,13,515,2020/06/01  00:25:00,37,-46.28402,-23.954513,11470.515316759838
LJ648872595456,2020-01-14 09:50:28+00:00,113.891055,22.400172,14.0,17040.0,17,1360,2020/01/14  09:22:00,25,103.545456,1.399416,2587.55759752636
LK375404518377,2019-07-16 05:48:48+00:00,120.236608,22.533917,19.0,7040.0,11,44,2019/07/15  11:58:00,54,-79.88299,9.352609,15836.661941695513
LM121664928482,2020-06-02 23:59:14+00:00,11.66483,37.218727,27.0,30400.0,17,7,2020/06/02  02:09:33,11,3.10751,36.781427,760.7409188732745
LP806348910035,2020-02-01 18:07:18+00:00,122.770898,30.539340000000006,3.0,5070.0,11,754,2020/01/29  19:08:00,51,-104.305571,19.085961,12539.335841806453
LS475777921461,2019-06-21 21:20:38+00:00,103.580568,1.20617,7.0,29720.0,17,347,2019/06/17  08:56:00,34,31.05008,-29.868304,8393.872900511165
LS585854121667,2020-06-04 23:51:50+00:00,113.224858,17.242932,33.0,19300.0,13,1098,2020/06/04  04:54:00,45,23.616167,37.971822,8800.186252445179
LX345873164688,2020-06-01 23:55:40+00:00,62.307483,21.2608,24.0,31100.0,11,1232,2020/06/01  00:09:00,2,55.04979,25.022073,851.0453117487109
MC406528852204,2020-01-02 06:08:08+00:00,109.90935,11.953317,26.0,19400.0,17,292,2019/12/30  21:55:00,25,103.545456,1.399416,1366.5149500838636
MF280195890024,2020-01-28 06:43:58+00:00,114.239817,22.11645,26.0,9400.0,17,150,2020/01/28  04:52:00,25,103.545456,1.399416,2576.204151068981
MI929830240346,2019-01-19 15:49:38+00:00,136.93964499999998,2.312973,36.0,12990.0,19,1121,2019/01/17  15:58:00,9,-71.642993,-33.030843,15474.528412648018
MK582891492403,2020-06-07 23:54:56+00:00,114.125233,22.3359,0.0,30700.0,8,886,2020/06/07  00:50:00,16,72.93839,18.936253,4287.0126818413255
MO646953181450,2020-01-21 11:11:18+00:00,113.913453,22.364565,23.0,13020.0,7,1264,2020/01/21  08:54:00,30,103.70462,1.303141,2587.407861219433
MP735256846031,2020-06-03 23:58:57+00:00,103.782583,1.266642,0.0,5350.0,11,441,2020/06/03  05:32:18,2,55.04979,25.022073,5849.2245736668765
MR751998810986,2020-02-06 04:13:48+00:00,112.277833,18.206183,38.0,23200.0,17,160,2020/02/05  11:45:38,30,103.70462,1.303141,2098.276518225848
MU690927219794,2019-04-14 07:26:48+00:00,176.175378,-37.66174,0.0,26750.0,19,665,2019/04/01  03:44:00,9,-71.642993,-33.030843,9475.520151284669
MW181581222424,2019-11-19 04:18:58+00:00,113.888533,22.408233,9.0,17000.0,17,150,2019/11/19  03:43:00,25,103.545456,1.399416,2588.2380721072545
NF306968821769,2020-06-01 07:51:47+00:00,116.742348,18.652862,30.0,14200.0,15,733,2020/06/01  00:05:00,55,121.046856,13.756824,711.9232691542506
NF648373052371,2020-06-01 23:55:40+00:00,62.307483,21.2608,24.0,31100.0,11,1232,2020/06/01  00:09:13,2,55.04979,25.022073,851.0453117487109
NG172715504814,2019-01-28 03:40:58+00:00,122.39754,30.536602,15.0,28480.0,11,91,2019/01/22  11:59:00,51,-104.305571,19.085961,12566.31232410848
NJ169522947117,2019-12-31 19:17:58+00:00,105.82223,3.83831,27.0,21400.0,11,1152,2019/12/28  20:28:18,30,103.70462,1.303141,366.90808452677584
NR607703947338,2020-01-12 06:18:18+00:00,104.7116,1.830275,30.0,20700.0,10,953,2020/01/09  00:54:28,25,103.545456,1.399416,138.10150968289986
NS287207846338,2020-01-14 21:51:48+00:00,108.24452,7.550197,34.0,21400.0,11,146,2020/01/12  13:54:00,30,103.70462,1.303141,857.1261321259213
NS866700256990,2020-02-11 09:46:28+00:00,114.089142,22.307873,24.0,15370.0,13,346,2020/02/11  08:09:00,30,103.70462,1.303141,2589.9479505930485
NU513171564244,2019-07-06 09:43:18+00:00,174.280215,-34.67986,29.0,14120.0,7,354,2019/06/23  02:53:00,9,-71.642993,-33.030843,9817.297928915861
NX668481428339,2020-06-01 23:59:25+00:00,77.703487,6.34788,34.0,28300.0,17,842,2020/06/01  00:07:00,40,3.10751,36.781427,8209.971161387253
OB954939012490,2020-06-01 23:54:41+00:00,32.573568,29.81303,0.0,28200.0,17,427,2020/06/01  00:02:00,31,13.728527,45.537061,2396.427246568007
OC805181767790,2020-03-04 23:41:28+00:00,107.686667,6.704,25.0,21500.0,7,1406,2020/03/01  13:32:08,25,103.545456,1.399416,747.0237320059542
OF386162750817,2020-06-01 23:53:35+00:00,-19.339275,20.971737,28.0,21100.0,7,629,2020/06/01  00:03:53,39,-23.494261,14.919073,803.1815978601493
OI667693935289,2020-06-13 23:32:04+00:00,114.261133,19.971022,20.0,19100.0,25,921,2020/06/13  03:28:00,30,103.70462,1.303141,2370.5515876267973
OJ190925401841,2020-06-01 23:58:55+00:00,57.341253,-20.174902,27.0,21900.0,17,636,2020/06/01  00:09:00,34,31.05008,-29.868304,2849.3773165200405
OJ518461508299,2020-01-01 18:24:28+00:00,113.597383,18.927333,27.0,19500.0,13,202,2020/01/01  05:18:00,30,103.70462,1.303141,2235.331836589096
OM947033486726,2020-06-22 23:53:06+00:00,113.562748,18.547645000000006,35.0,19500.0,13,1314,2020/06/22  09:41:22,57,103.70462,1.303141,2197.0257570331514
ON494255048100,2020-01-03 22:56:28+00:00,109.8285,11.940633,39.0,19300.0,11,1189,2020/01/02  10:44:28,30,103.70462,1.303141,1361.2181981789404
OO873074032241,2020-06-18 23:58:57+00:00,117.929313,23.176572,30.0,4090.0,24,1254,2020/06/18  06:57:23,21,126.626175,37.401819,1785.4067947414303
OQ583044628493,2020-06-04 23:51:50+00:00,113.224858,17.242932,33.0,19300.0,13,1098,2020/06/04  04:54:00,46,14.440479000000002,45.323482,9310.78362644561
OT831938188749,2020-06-01 23:58:02+00:00,91.766085,21.992502,0.0,840.0,20,537,2020/06/01  00:06:57,36,91.793321,22.304439,34.77719922938941
OW260012658725,2019-11-12 02:36:58+00:00,115.756742,22.262483,26.0,8610.0,11,75,2019/11/11  20:01:00,51,-104.305571,19.085961,13674.776096960282
OY547556724291,2020-06-24 22:48:12+00:00,112.930867,16.455133,35.0,19600.0,25,437,2020/06/24  02:59:00,1,103.70462,1.303141,1963.3435063580976
OY902607348677,2020-03-12 20:35:28+00:00,106.788848,5.286723,21.0,21400.0,7,38,2020/03/08  17:42:00,25,103.545456,1.399416,562.1536226977993
PG280610144180,2020-06-01 23:59:50+00:00,32.571037,29.83649,0.0,31380.0,0,153,2020/06/01  00:07:00,17,8.946256,44.40565,2629.797120143173
PM237244626857,2019-07-20 13:45:38+00:00,114.1168,22.3355,0.0,22300.0,7,932,2019/07/20  10:02:00,9,-71.642993,-33.030843,18686.439399418432
PP362007425226,2020-03-16 10:51:38+00:00,114.327283,22.561967000000006,18.0,10100.0,23,606,2020/03/15  23:28:00,38,-123.095942,49.289628,10214.387576922209
QC334220570980,2020-06-03 22:47:56+00:00,113.433868,18.090243,26.0,19300.0,8,1408,2020/06/03  01:53:00,15,106.881179,-6.119484,2784.623623562463
QD454444626111,2020-06-01 23:46:05+00:00,173.23558,54.01686,32.0,8880.0,23,929,2020/06/01  00:09:00,38,-123.095942,49.289628,4270.605880466637
QJ557016405590,2020-03-20 14:11:28+00:00,108.52943700000002,6.786717,26.0,22600.0,13,299,2020/03/17  03:57:28,30,103.70462,1.303141,810.6393616581014
QL994378743906,2020-06-08 23:57:32+00:00,114.572397,22.377058,0.0,12370.0,15,696,2020/06/08  20:17:07,55,121.046856,13.756824,1176.5472826717787
QM531603361927,2019-08-31 06:43:58+00:00,129.244067,30.086355,38.0,5990.0,11,1087,2019/08/29  07:05:00,54,-79.88299,9.352609,14627.557032895604
QN956105648975,2020-06-02 23:57:44+00:00,118.166192,23.429733,38.0,4700.0,24,713,2020/06/02  09:39:00,21,126.626175,37.401819,1749.5868006306325
QO176063403469,2020-06-06 23:56:49+00:00,115.32595,22.231867,35.0,7700.0,1,499,2020/06/06  18:03:29,19,139.792252,35.616509,2793.762969107973
QU249399134445,2020-03-12 20:35:28+00:00,106.788848,5.286723,21.0,21400.0,7,38,2020/03/08  19:36:48,25,103.545456,1.399416,562.1536226977993
QU447763856742,2020-06-01 23:59:50+00:00,32.571037,29.83649,0.0,31380.0,0,153,2020/06/01  00:07:12,17,8.946256,44.40565,2629.797120143173
QZ631063372367,2020-06-03 23:58:57+00:00,103.782583,1.266642,0.0,5350.0,11,441,2020/06/03  05:32:00,2,55.04979,25.022073,5849.2245736668765
RC594562235370,2020-02-27 04:04:08+00:00,103.781893,1.265385,0.0,8440.0,11,1002,2020/02/21  20:52:00,35,-58.35677,-34.627862,15858.434611146273
RF302195306462,2019-12-15 02:18:18+00:00,103.761863,1.282985,0.0,15380.0,7,210,2019/12/10  18:47:00,28,67.32748000000001,24.766207,4699.594509774619
RJ468649977697,2020-06-01 23:59:25+00:00,77.703487,6.34788,34.0,28300.0,13,842,2020/06/01  00:07:00,13,-0.327021,39.460366,8527.505813462043
RK226860149949,2019-12-14 13:17:18+00:00,122.8523,30.3777,23.0,14180.0,11,471,2019/12/10  08:51:00,51,-104.305571,19.085961,12545.325528413856
RT444142514084,2020-06-01 23:49:01+00:00,98.741028,4.6694879999999985,27.0,30600.0,13,1334,2020/06/01  00:00:00,6,50.71275,26.183017,5628.3730740056735
RU413770695200,2019-08-23 02:17:58+00:00,122.878718,30.385115000000006,21.0,31860.0,11,1359,2019/08/20  00:34:00,51,-104.305571,19.085961,12542.877457538509
RV644289514901,2019-07-10 00:39:08+00:00,128.931638,33.665683,31.0,5200.0,11,89,2019/07/02  04:12:00,51,-104.305571,19.085961,11871.14442794989
RX443176970758,2020-01-13 05:03:18+00:00,113.561015,18.51853,33.0,19400.0,11,146,2020/01/12  13:54:00,30,103.70462,1.303141,2194.143223091168
